path,category_guess,lines,includes,gl_calls,gl_raw_refs,gl_call_exprs,gl_known_false_refs,gGL,LLGL,LLRender,LLPipeline,LLDrawPool,LLRenderTarget,LLImageGL,LLViewerTexture,LLViewerWindow
indra/llrender/llcubemaparray.cpp,render.legacy_low_level,247,13,0,0,0,0,2,5,0,0,0,0,2,0,0
indra/newview/llpreviewtexture.cpp,assets.texture,798,30,0,0,0,0,2,4,0,0,0,0,0,1,0
indra/newview/rlveffects.cpp,render.opengl_touching,334,11,0,0,0,0,2,4,1,0,0,0,0,0,0
indra/newview/lldrawpooltree.cpp,render.draw_pool,157,14,0,0,0,0,2,3,2,0,14,0,0,3,0
indra/newview/llhudnametag.cpp,render.opengl_touching,949,21,0,0,0,0,2,2,0,0,0,0,0,0,0
indra/newview/lldrawpoolpbropaque.cpp,render.pipeline,96,6,0,0,0,0,2,0,0,6,8,0,0,0,0
indra/llui/llfolderviewitem.cpp,render.opengl_touching,2632,14,0,0,0,0,2,0,0,0,0,0,0,0,1
indra/llrender/lluiimage.cpp,render.legacy_low_level,174,4,0,0,0,0,2,0,0,0,0,0,0,0,0
indra/newview/llviewertexturelist.cpp,assets.texture,1907,33,0,0,0,0,1,23,3,0,0,0,3,31,0
indra/newview/llvovolume.cpp,render.pipeline,7187,62,0,0,0,0,1,13,19,29,11,0,0,21,0
indra/llappearance/lllocaltextureobject.cpp,assets.texture,213,8,0,0,0,0,1,3,0,0,0,0,0,0,0
indra/llui/llscrolllistctrl.cpp,render.opengl_touching,3857,28,0,0,0,0,1,2,0,0,0,0,0,0,0
indra/newview/llhudobject.cpp,render.opengl_touching,336,14,0,0,0,0,1,2,0,0,0,0,0,0,0
indra/llui/lllocalcliprect.cpp,render.opengl_touching,122,7,0,0,0,0,1,2,0,0,0,0,0,0,0
indra/newview/llvotree.cpp,render.pipeline,1245,26,0,0,0,0,1,1,1,6,5,0,0,1,0
indra/llrender/llrendertarget.h,render.legacy_low_level,196,3,0,0,0,0,1,1,0,0,0,14,3,0,0
indra/newview/llscripteditor.cpp,render.opengl_touching,253,5,0,0,0,0,1,1,0,0,0,0,0,0,0
indra/newview/llworld.cpp,assets.texture,1526,25,0,0,0,0,1,0,0,0,0,0,0,1,0
indra/llrender/llfontbitmapcache.cpp,render.legacy_low_level,189,3,0,0,0,0,1,0,0,0,0,0,4,0,0
indra/llui/lllineeditor.cpp,render.opengl_touching,2846,21,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/newview/llfloateruipreview.cpp,ui,1720,31,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/llui/llaccordionctrltab.cpp,render.opengl_touching,1167,8,0,0,0,0,1,0,1,0,0,0,0,0,0
indra/newview/llfloatercolorpicker.cpp,ui,1090,29,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/llui/llmultislider.cpp,render.opengl_touching,881,11,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/llui/llscrollcontainer.cpp,render.opengl_touching,803,18,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/newview/llfloatersimplesnapshot.cpp,ui,523,12,0,0,0,0,1,0,1,0,0,0,0,0,0
indra/llui/llvirtualtrackball.cpp,render.opengl_touching,521,6,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/llui/llslider.cpp,render.opengl_touching,384,9,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/llui/llxyvector.cpp,render.opengl_touching,338,7,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/llui/llcontainerview.cpp,render.opengl_touching,301,11,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/llui/llscrolllistitem.cpp,render.opengl_touching,205,4,0,0,0,0,1,0,0,0,0,0,0,0,0
indra/newview/llfloaterbigpreview.cpp,ui,111,3,0,0,0,0,1,0,1,0,0,0,0,0,0
indra/newview/app_settings/shaders/class1/deferred/dynamicVelocityV.glsl,render.opengl_touching,39,0,0,0,0,0,1,0,1,0,0,0,0,0,0
indra/llrender/llglcontainment.h,render.legacy_low_level,375,2,0,0,0,0,0,321,0,0,0,0,0,0,0
indra/newview/llviewershadermgr.cpp,render.pipeline,3765,18,0,0,0,0,0,214,2,7,0,0,0,0,0
indra/llprimitive/tests/llgltfmaterial_test.cpp,render.opengl_touching,442,6,0,0,0,0,0,101,0,0,0,0,0,0,0
indra/llrender/llglslshader.h,render.legacy_low_level,397,10,0,0,0,0,0,92,1,0,1,2,0,0,0
indra/newview/llpanelface.cpp,ui,5988,60,0,0,0,0,0,91,35,0,0,0,0,6,0
indra/newview/llmaterialeditor.cpp,assets.texture,3831,38,0,0,0,0,0,72,0,0,0,0,0,1,0
indra/llrender/llgltexture.cpp,render.legacy_low_level,382,3,0,0,0,0,0,65,0,0,0,0,3,0,0
indra/llrender/llglstates.h,render.legacy_low_level,199,3,0,0,0,0,0,59,0,0,0,0,0,0,0
